Country,Membership Year,Latitude,Longitude,URL
Afghanistan,19 November 1946,34°31′N,69°11′E,https://en.wikipedia.org/wiki/Afghanistan
Albania,14 December 1955,41°N,20°E,https://en.wikipedia.org/wiki/Albania
Algeria,8 October 1962,28°N,2°E,https://en.wikipedia.org/wiki/Algeria
Andorra,28 July 1993,42°33′N,1°35′E,https://en.wikipedia.org/wiki/Andorra
Angola,1 December 1976,12°30′S,18°30′E,https://en.wikipedia.org/wiki/Angola
Antigua and Barbuda,11 November 1981,17°03′N,61°48′W,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Argentina,24 October 1945,34°S,64°W,https://en.wikipedia.org/wiki/Argentina
Armenia,2 March 1992,40°11′N,44°31′E,https://en.wikipedia.org/wiki/Armenia
Australia,1 November 1945,25°S,133°E,https://en.wikipedia.org/wiki/Australia
Austria,14 December 1955,47°20′N,13°20′E,https://en.wikipedia.org/wiki/Austria
Azerbaijan,2 March 1992,40°18′N,47°42′E,https://en.wikipedia.org/wiki/Azerbaijan
Bahamas,18 September 1973,25°00′N,77°24′W,https://en.wikipedia.org/wiki/The_Bahamas
Bahrain,21 September 1971,26°4′N,50°30′E,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,17 September 1974,24°N,90°E,https://en.wikipedia.org/wiki/Bangladesh
Barbados,9 December 1966,13°10′12″N,59°33′09″W,https://en.wikipedia.org/wiki/Barbados
Belarus,24 October 1945,53°N,27°E,https://en.wikipedia.org/wiki/Belarus
Belgium,27 December 1945,50°50′N,4°00′E,https://en.wikipedia.org/wiki/Belgium
Belize,25 September 1981,17°4′N,88°42′W,https://en.wikipedia.org/wiki/Belize
Benin,20 September 1960,6°28′N,2°36′E,https://en.wikipedia.org/wiki/Benin
Bhutan,21 September 1971,27°25′01″N,90°26′06″E,https://en.wikipedia.org/wiki/Bhutan
Bolivia (Plurinational State of),14 November 1945,16°42′43″S,64°39′58″W,https://en.wikipedia.org/wiki/Bolivia
Bosnia and Herzegovina,22 May 1992,44°N,18°E,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Botswana,17 October 1966,24°39.5′S,25°54.5′E,https://en.wikipedia.org/wiki/Botswana
Brazil,24 October 1945,10°S,52°W,https://en.wikipedia.org/wiki/Brazil
Brunei Darussalam,21 September 1984,4°30′N,114°40′E,https://en.wikipedia.org/wiki/Brunei
Bulgaria,14 December 1955,43°N,25°E,https://en.wikipedia.org/wiki/Bulgaria
Burkina Faso,20 September 1960,12°20′N,1°50′W,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,18 September 1962,3°30′S,30°00′E,https://en.wikipedia.org/wiki/Burundi
Cabo Verde,16 September 1975,15°18′N,23°42′W,https://en.wikipedia.org/wiki/Cape_Verde
Cambodia,14 December 1955,12°34′N,104°59′E,https://en.wikipedia.org/wiki/Cambodia
Cameroon,20 September 1960,6°N,12°E,https://en.wikipedia.org/wiki/Cameroon
Canada,9 November 1945,60°N,110°W,https://en.wikipedia.org/wiki/Canada
Central African Republic,20 September 1960,7°N,21°E,https://en.wikipedia.org/wiki/Central_African_Republic
